custom_name,source_name,matched,confidence,match_stage
Flat Dumbbell Press,,False,,unmatched
Flat Barbell Bench Press,,False,,unmatched
Incline Dumbbell Press,,False,,unmatched
Incline Barbell Bench Press,,False,,unmatched
Incline Machine Press,,False,,unmatched
Chest Press Machine,,False,,unmatched
Smith Machine Press,,False,,unmatched
Pec Deck Fly,,False,,unmatched
Cable Fly,,False,,unmatched
High to Low Cable Crossover,,False,,unmatched
Low to High Cable Fly,,False,,unmatched
Push-ups,,False,,unmatched
Weighted Push-ups,,False,,unmatched
Dips,,False,,unmatched
Shoulder Press,,False,,unmatched
Dumbbell Shoulder Press,,False,,unmatched
Machine Shoulder Press,,False,,unmatched
Arnold Press,,False,,unmatched
Cable Lateral Raise,,False,,unmatched
Dumbbell Lateral Raise,,False,,unmatched
Front Raise,,False,,unmatched
Reverse Pec Deck,,False,,unmatched
Face Pull,,False,,unmatched
Rear Delt Fly,,False,,unmatched
Upright Row,,False,,unmatched
Rope Pushdown,,False,,unmatched
Straight Bar Pushdown,,False,,unmatched
Overhead Rope Extension,,False,,unmatched
Skull Crushers,,False,,unmatched
Cable Tricep Skull Crusher,,False,,unmatched
Close Grip Bench Press,,False,,unmatched
Bench Dips,,False,,unmatched
Lat Pulldown,,False,,unmatched
Wide Grip Lat Pulldown,,False,,unmatched
Close Grip Lat Pulldown,,False,,unmatched
Pull-ups,,False,,unmatched
Assisted Pull-ups,,False,,unmatched
Seated Cable Row,,False,,unmatched
Seated Machine Row Wide Grip,,False,,unmatched
Seated Machine Row Close Grip,,False,,unmatched
Barbell Row,,False,,unmatched
T-Bar Row,,False,,unmatched
Dumbbell Row,,False,,unmatched
Chest Supported Row,,False,,unmatched
Straight Arm Pulldown,,False,,unmatched
Shrugs,,False,,unmatched
Dumbbell Curl,,False,,unmatched
Alternating Dumbbell Curl,,False,,unmatched
Machine Curl,,False,,unmatched
Hammer Curl,,False,,unmatched
Preacher Curl,,False,,unmatched
Cable Curl,,False,,unmatched
Bayesian Curl,,False,,unmatched
Concentration Curl,,False,,unmatched
EZ Bar Curl,,False,,unmatched
Wrist Curl,,False,,unmatched
Reverse Wrist Curl,,False,,unmatched
Squat,,False,,unmatched
Back Squat,,False,,unmatched
Front Squat,,False,,unmatched
Smith Machine Squat,,False,,unmatched
Squat Machine,,False,,unmatched
Leg Press,,False,,unmatched
Leg Extension,,False,,unmatched
Romanian Deadlift,,False,,unmatched
Barbell RDL,,False,,unmatched
Dumbbell RDL,,False,,unmatched
Leg Curl,,False,,unmatched
Seated Leg Curl,,False,,unmatched
Lying Leg Curl,,False,,unmatched
Bulgarian Split Squat,,False,,unmatched
Walking Lunges,,False,,unmatched
Hip Thrust,,False,,unmatched
Glute Bridge,,False,,unmatched
Calf Raises,,False,,unmatched
Seated Calf Raise,,False,,unmatched
Standing Calf Raise,,False,,unmatched
Crunches,,False,,unmatched
Cable Crunch,,False,,unmatched
Hanging Leg Raise,,False,,unmatched
Plank,,False,,unmatched
Russian Twists,,False,,unmatched
Ab Wheel,,False,,unmatched
Mountain Climbers,,False,,unmatched
Dead Bug,,False,,unmatched
Pallof Press,,False,,unmatched
Treadmill Running,,False,,unmatched
Incline Walking,,False,,unmatched
Cycling,,False,,unmatched
Stairmaster,,False,,unmatched
Rowing Machine,,False,,unmatched
Elliptical,,False,,unmatched
Jump Rope,,False,,unmatched
Outdoor Walk,,False,,unmatched
Outdoor Run,,False,,unmatched
Sled Push,,False,,unmatched
Cable Row,,False,,unmatched
Bench Press,,False,,unmatched
Pull Down,,False,,unmatched
Leg Press Heavy,,False,,unmatched
RDL Heavy,,False,,unmatched
